Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Anthony Tolliver,DET,31,6.6666,240,Creighton,USA,2020,3,70,72,5.3,3.2,0.7,-0.7,3,15.9,12.6,54.3,5.8
Archie Goodwin,PHX,21,6.4166,200,Kentucky,USA,2013,1,29,57,8.9,2.5,2.1,-11,2.6,11.4,23.1,49.8,17.4
Aron Baynes,DET,29,6.8333,260,Washington State,Australia,2020,3,70,81,6.3,4.7,0.6,-4.7,12.2,22.3,18.7,56.3,7
Arron Afflalo,NYK,30,6.4166,210,UCLA,USA,2007,1,27,71,12.8,3.7,2,-3.2,1.1,10.9,18.1,53.1,9.7
Austin Rivers,LAC,23,6.3333,200,Duke,USA,2012,1,10,67,8.9,1.9,1.5,-2.1,1.6,8,19.5,52.3,11.6
Avery Bradley,BOS,25,6.1666,180,Texas,USA,2010,1,19,76,15.2,2.9,2.1,4.2,2,7.3,20,53.8,9.5
Axel Toupane,DEN,23,6.5833,210,None,France,2020,3,70,21,3.6,1.5,0.7,-2.1,3.2,8.7,12.5,49,6.8
Ben McLemore,SAC,23,6.4166,195,Kansas,USA,2013,1,7,68,7.8,2.2,1.2,-0.6,2.6,8.3,17.4,53.1,7.6
Beno Udrih,MEM,33,6.25,205,None,Slovenia,2004,1,28,44,4.7,1.6,2.6,-1.3,1.3,10.1,17.2,49.6,25.6
Bismack Biyombo,TOR,23,6.75,245,None,Democratic Republic of the Congo,2011,1,7,82,5.5,8,0.4,3.8,11.5,28.1,11.7,58.6,2.5
Blake Griffin,LAC,27,6.8333,251,Oklahoma,USA,2009,1,1,35,21.4,8.4,4.9,7.9,4.8,22.1,29.2,54.4,25.8
Boban Marjanovic,SAS,27,7.25,290,None,Serbia,2020,3,70,54,5.5,3.6,0.4,6.6,16.6,27.5,22.9,66.2,7.2
Bobby Portis,CHI,21,6.9166,230,Arkansas,USA,2015,1,22,62,7,5.4,0.8,-7.9,11.4,21,20.7,46.9,7.6
Bojan Bogdanovic,BKN,27,6.6666,216,None,Croatia,2011,2,31,79,11.2,3.2,1.3,-8.8,1.9,11.8,19.4,55,7.3
Boris Diaw,SAS,34,6.6666,250,None,France,2003,1,21,76,6.4,3.1,2.3,10.8,4.9,13.9,16.8,58.2,18.2
Bradley Beal,WAS,23,6.4166,207,Florida,USA,2012,1,3,55,17.4,3.4,2.9,-1.6,2.7,9.9,25,54.7,15.3
Brandan Wright,MEM,28,6.8333,210,North Carolina,USA,2007,1,8,12,6.9,3.6,0.5,-13.1,7.3,14.8,15.6,66.3,5
Branden Dawson,LAC,23,6.5,225,Michigan State,USA,2015,2,56,6,0.8,0.7,0,-24.6,11.1,6.7,9.2,46,0
Brandon Bass,LAL,31,6.6666,250,Louisiana State,USA,2005,2,33,66,7.2,4.3,1.1,-2.6,8.5,15.3,13.8,61.9,8.8
Brandon Jennings,ORL,26,6.0833,169,None,USA,2009,1,10,48,6.9,2,3.5,0.4,2,10.3,19.8,49.1,29.8
Brandon Knight,PHX,24,6.25,189,Kentucky,USA,2011,1,8,52,19.6,3.9,5.1,-6.8,2.1,9.9,26.3,52.2,23.4
Brandon Rush,GSW,30,6.5,220,Kansas,USA,2008,1,13,72,4.2,2.5,0.8,0.2,2.3,15.4,12.8,56,7.2
Brian Roberts,POR,30,6.0833,173,Dayton,USA,2020,3,70,51,4,0.8,1.1,-6.2,1.3,8.6,19.6,55.2,20.5
Briante Weber,MIA,23,6.1666,165,Virginia Commonwealth,USA,2020,3,70,7,4.4,3.6,3,-22.5,4,12.7,11.8,38,17.5
Brook Lopez,BKN,28,7,275,Stanford,USA,2008,1,10,73,20.6,7.8,2,-3.7,9.4,16.7,27.6,56.2,10.6
Bruno Caboclo,TOR,20,6.75,205,None,Brazil,2014,1,20,6,0.5,0.3,0.2,-2.5,2.2,2.4,16.4,12.5,3.3
Bryce Cotton,MEM,23,6.0833,165,Providence,USA,2020,3,70,8,1,0,0.4,-31,0,0,17.9,40,13.6
Bryce Dejean-Jones,NOP,23,6.5,203,Iowa State,USA,2020,3,70,14,5.6,3.4,1.1,-7,2.8,17.5,14.1,50.5,7.6
CJ McCollum,POR,24,6.3333,200,Lehigh,USA,2013,1,10,80,20.8,3.2,4.3,2,1.8,8.4,27,54.4,21.1
CJ Miles,IND,29,6.5,231,None,USA,2005,2,34,64,11.8,2.7,1,-0.5,1.9,11.2,22.5,54.7,6.9
CJ Watson,ORL,32,6.1666,175,Tennessee,USA,2020,3,70,33,4.3,2,2.7,-2.3,1.7,9.4,12,46.1,18
CJ Wilcox,LAC,25,6.4166,195,Washington,USA,2014,1,28,23,3,0.5,0.4,8.8,0.7,6.3,20,49.1,9
Cameron Bairstow,DET,25,6.75,250,New Mexico,Australia,2014,2,49,18,1.9,1.6,0.3,-7.1,3.8,23.5,19.8,39.1,9.1
Cameron Payne,OKC,21,6.25,185,Murray State,USA,2015,1,14,57,5,1.5,1.9,-2.8,1.4,12.1,20.6,49,24.1
Carl Landry,PHI,32,6.75,248,Purdue,USA,2007,2,31,36,9.8,4.1,0.9,-10.4,9,20.2,23.9,60.5,10.2
Carmelo Anthony,NYK,32,6.6666,240,Syracuse,USA,2003,1,3,72,21.8,7.7,4.2,-0.7,4.3,19.5,29.5,53,20.9
Caron Butler,SAC,36,6.5833,228,Connecticut,USA,2002,1,10,17,3.7,1.3,0.6,-12.4,2.9,11.5,16.3,49,9.9
Chandler Parsons,DAL,27,6.8333,230,Florida,USA,2011,2,38,61,13.7,4.7,2.8,1.3,1.8,15.8,20.8,58.9,15.8
Channing Frye,CLE,33,6.9166,255,Arizona,USA,2005,1,8,70,6.1,3.3,1,3.7,3.3,19.2,15.6,58.6,8.6
Charles Hayes,LAC,33,6.5,240,Kentucky,USA,2020,3,70,2,2,4,1,-2,0,28.6,11.2,69.4,13.3
Charlie Villanueva,DAL,31,6.9166,232,Connecticut,USA,2005,1,7,62,5.1,2.5,0.4,-7.9,3.6,21.3,24.4,47.3,6.3
Chase Budinger,PHX,28,6.5833,209,Arizona,USA,2009,2,44,66,4.1,2.3,1,-0.1,4.8,12.9,14.2,51.4,9.8
Chris Andersen,MEM,37,6.8333,245,Blinn,USA,2020,3,70,27,3.9,3.6,0.4,-10.7,10,19.1,10.9,59.8,4.5
Chris Bosh,MIA,32,6.9166,235,Georgia Tech,USA,2003,1,4,53,19.1,7.4,2.4,1.7,3.2,21.1,25.3,57.1,12.9
Chris Copeland,MIL,32,6.75,239,Colorado,USA,2020,3,70,24,2.1,0.4,0.5,-26.2,0.7,7.3,17.7,46.2,12
Chris Johnson,UTA,26,6.5,206,Dayton,USA,2020,3,70,70,2.9,1.9,0.6,4.6,3.7,13.4,13.7,48.2,8.2
Chris Kaman,POR,34,7,265,Central Michigan,USA,2003,1,6,16,2.8,1.5,0.7,-13.2,7.7,17,21.3,49.6,18.6
Chris McCullough,BKN,21,6.9166,200,Syracuse,USA,2015,1,29,24,4.7,2.8,0.4,-16.1,7.4,14.5,16,47,3.8
Chris Paul,LAC,31,6,175,Wake Forest,USA,2005,1,4,74,19.5,4.2,10,11.9,1.8,11.9,26.9,57.5,49.3
Christian Wood,PHI,20,6.9166,220,Nevada-Las Vegas,USA,2020,3,70,17,3.6,2.2,0.2,-13.5,8.2,19.2,18.7,49,3.5
Cleanthony Early,NYK,25,6.6666,210,Wichita State,USA,2014,2,34,17,1.8,1.5,0.4,0.4,2.8,14.6,14.8,37.1,5.8
