,X,Y
212,-9.83936158631,-6.23910385462
213,-55.8471792375,-67.3224459213
214,-29.820392391,-29.2430439608
215,-46.8229440491,-3.24932021202
216,-109.818321438,-5.18337271151
217,-69.8447173933,-81.0368063534
218,-3.84015761657,-81.3137030076
219,-79.8728488395,-41.2094391486
220,-67.7943285396,-19.0467325724
221,-69.8398475023,-59.0952549276
222,-71.8378812658,-57.2272405096
223,-107.842532946,-43.1976944221
224,-46.87421071,-77.3539976981
225,-51.8195028954,-66.2290746758
226,-121.844105551,-67.1990507344
227,-69.8482513922,-78.188578705
228,-69.8099891761,-60.1536530502
229,-38.8667047178,-55.2412466605
230,-102.824136634,-2.20535703046
231,-63.8789966663,-79.2720852545
232,-102.853867761,-12.2296013654
233,-99.8173914563,-11.2356826236
234,-1.8418041615,-73.2710090711
235,-97.8625336669,-22.2005358248
236,-51.8104908397,-16.2223901234
237,-13.8440528695,-12.1586883633
238,-69.8700043861,-72.2137245308
239,-73.8821761062,-74.2012817965
240,-94.8076018382,-5.19756720296
241,-27.8202076004,-42.2518305444
242,-97.8605812734,-52.2129194794
243,-69.8406601952,-55.2280877929
244,-102.859841036,-65.2874800184
245,-46.8326660412,-81.2516568148
246,-109.838780393,-55.1930485094
247,-85.8124441764,-5.20695281837
248,-113.875523348,-53.1878419224
249,-27.8541139662,-78.2484655089
250,-69.7679295404,-32.0688401644
251,-17.8489419416,-37.2377138578
252,-46.8361306745,-82.2838224322
253,-90.8409045942,-72.2848567669
254,-61.8478970809,-5.20453148237
255,-36.8272455786,-69.1044540305
