,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
266,26,33,6.5833,199,118,36,9,1,26,55,9.3,2,1.1,84,1.4,10.2,22.2,52,8.9
267,19,26,6.8333,278,49,11,15,1,17,48,3.9,2.6,1,79,6.5,19.4,22.3,43.5,15.7
268,9,20,6.75,220,103,36,20,1,30,5,1.8,2,0,48,16,37.5,15.4,64.3,0
269,16,24,6.6666,234,101,36,17,2,39,79,18.2,3.8,4.2,89,1.8,10.3,22.9,56,18.3
270,0,35,6.3333,190,45,36,8,1,7,46,3,1.5,1.6,91,1.4,10.7,11.7,50.4,17.3
271,9,26,6.5833,215,115,36,16,1,11,80,22.1,3.8,2.1,105,1.5,10,26.4,59.7,9.4
272,13,37,6.5,212,70,36,1,1,13,66,17.6,3.7,2.8,74,2.3,12.3,31.9,46.9,18.3
273,25,27,7,265,76,36,13,1,23,78,6.8,5.4,0.4,82,12.2,19,15.5,54,3.4
274,7,25,6.6666,235,70,15,17,2,48,26,2.6,1.5,0.6,89,3.2,12.5,14.5,46.4,7.7
275,0,31,6.75,235,63,36,9,1,14,53,6.5,4.1,0.7,84,7.3,21.6,19.2,51.7,6.8
276,19,20,7.25,240,70,18,20,1,4,72,14.3,7.3,1.3,89,7.1,20.6,24.5,51.8,7.6
277,26,22,6.75,230,103,36,19,1,30,78,4.5,3.1,1.6,100,2.4,20.1,14.7,52.8,14
278,0,35,6.5833,212,24,36,8,2,51,80,9.2,3.3,2.1,96,0.6,10.8,13.5,57.7,9.5
279,27,30,6,205,109,36,11,1,24,77,21.2,4.7,6.4,96,2.3,12.4,26,57.8,29.3
280,19,26,6.8333,250,71,36,17,2,49,65,4.8,3.8,1.1,85,11.4,23.7,21.2,52,16.1
281,20,28,6.6666,228,28,36,16,2,33,68,3.4,2.1,0.4,89,5.6,9.9,11.7,48.1,3.5
282,5,24,6.25,193,28,1,16,1,1,53,19.6,3,4.7,95,3,7.8,29.3,54,25.3
283,26,30,6.9166,240,100,36,11,1,2,74,18,8.5,1.5,102,9.1,22.2,26,56.5,8.1
284,0,24,6.4166,225,82,36,25,3,70,35,2.4,1.4,1.1,93,1.2,14.1,12.6,46.8,13.4
285,14,25,6.4166,230,17,36,15,2,40,69,8.3,3.2,1.9,87,3.2,15.2,19.9,54.8,15.2
